"Subject" "Trial" "Stimulus" "roi" "FFD" "FFP" "SFD" "FPRT" "RBRT" "TFT" "RPD" "CRPD" "RRT" "RRTP" "RRTR" "RBRC" "TRC" "LPRT" "word"
"Denek01" "Trial007" "rc-nonforced-anim-1.jpg" 1 202 1 0 202 202 404 202 202 202 0 202 0 0 202 "Banyoda"
"Denek01" "Trial007" "rc-nonforced-anim-1.jpg" 2 116 1 0 336 336 672 336 538 336 0 336 0 0 336 "yıkanan"
"Denek01" "Trial007" "rc-nonforced-anim-1.jpg" 3 175 1 0 270 270 540 270 808 270 0 270 0 0 270 "kadının"
"Denek01" "Trial007" "rc-nonforced-anim-1.jpg" 4 0 0 0 0 0 0 0 808 0 0 0 0 0 0 "oğlu"
"Denek01" "Trial007" "rc-nonforced-anim-1.jpg" 5 95 1 0 95 95 190 95 903 95 0 95 0 0 95 "dün"
"Denek01" "Trial007" "rc-nonforced-anim-1.jpg" 6 178 1 0 331 331 662 331 1234 331 0 331 0 0 331 "bütün"
"Denek01" "Trial007" "rc-nonforced-anim-1.jpg" 7 94 1 0 94 94 188 94 1328 94 0 94 0 0 94 "odayı"
"Denek01" "Trial007" "rc-nonforced-anim-1.jpg" 8 256 1 0 311 622 622 1950 3278 311 311 0 1 1 311 "temizledi."
