"Stimulus" "Reading.AOI.number" "word"
"229" "rc-n1forced-anim-1.jpg" 1 "Okulda"
"230" "rc-n1forced-anim-1.jpg" 2 "bağıran"
"232" "rc-n1forced-anim-1.jpg" 3 "müdürün"
"233" "rc-n1forced-anim-1.jpg" 4 "sesi"
"234" "rc-n1forced-anim-1.jpg" 5 "caddenin"
"236" "rc-n1forced-anim-1.jpg" 6 "karşısında"
"238" "rc-n1forced-anim-1.jpg" 7 "duyuldu."
"355" "rc-n1forced-anim-1.jpg" 8 "Devam"
"255" "rc-n1forced-anim-1.jpg" 9 "etmek"
"249" "rc-n1forced-anim-1.jpg" 11 "<buraya>"
"706" "rc-n1forced-anim-1.jpg" 12 "bakınız."
"2610" "rc-n1forced-anim-2.jpg" 1 "Tarlası"
"2590" "rc-n1forced-anim-2.jpg" 2 "satılan"
"2592" "rc-n1forced-anim-2.jpg" 3 "patronun"
"2593" "rc-n1forced-anim-2.jpg" 4 "evi"
"2605" "rc-n1forced-anim-2.jpg" 5 "geçen"
"2594" "rc-n1forced-anim-2.jpg" 6 "ay"
"2595" "rc-n1forced-anim-2.jpg" 7 "yeniden"
"2597" "rc-n1forced-anim-2.jpg" 8 "onarıldı."
"2629" "rc-n1forced-anim-2.jpg" 11 "için"
"2599" "rc-n1forced-anim-2.jpg" 12 "<buraya>"
"5058" "rc-n1forced-anim-3.jpg" 1 "Salonda"
"5060" "rc-n1forced-anim-3.jpg" 2 "ağlayan"
"5057" "rc-n1forced-anim-3.jpg" 3 "kızın"
"5062" "rc-n1forced-anim-3.jpg" 4 "vazosu"
"5064" "rc-n1forced-anim-3.jpg" 5 "öğleyin"
"5065" "rc-n1forced-anim-3.jpg" 6 "odasından"
"5071" "rc-n1forced-anim-3.jpg" 7 "çalındı."
"5076" "rc-n1forced-anim-3.jpg" 11 "<buraya>"
"7421" "rc-n1forced-anim-4.jpg" 1 "Kirayla"
"7422" "rc-n1forced-anim-4.jpg" 2 "geçinen"
